,Country,Region,Year,Happiness_rank,Happiness_score,GDP_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption_perception
64,Peru,Latin America and Caribbean,2019,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027
65,Portugal,Western Europe,2019,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025
66,Pakistan,South Asia,2019,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098
67,Russia,Commonwealth of Independent States,2019,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031
68,Philippines,Southeast Asia,2019,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107
69,Serbia,Central and Eastern Europe,2019,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039
70,Moldova,Commonwealth of Independent States,2019,71,5.529,0.685,1.328,0.739,0.245,0.181,0.0
71,Libya,Middle East and North Africa,2019,72,5.525,1.044,1.303,0.673,0.416,0.133,0.152
72,Montenegro,Central and Eastern Europe,2019,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08
73,Tajikistan,Commonwealth of Independent States,2019,74,5.467,0.493,1.098,0.718,0.389,0.23,0.144
74,Croatia,Central and Eastern Europe,2019,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022
75,Hong Kong,East Asia,2019,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287
76,Dominican Republic,Latin America and Caribbean,2019,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101
77,Bosnia and Herzegovina,Central and Eastern Europe,2019,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006
78,Turkey,Middle East and North Africa,2019,79,5.373,1.183,1.36,0.808,0.195,0.083,0.106
79,Malaysia,Southeast Asia,2019,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024
80,Belarus,Commonwealth of Independent States,2019,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142
81,Greece,Western Europe,2019,82,5.287,1.181,1.156,0.999,0.067,0.0,0.034
82,Mongolia,East Asia,2019,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038
83,North Macedonia,Central and Eastern Europe,2019,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034
84,Nigeria,Sub-Saharan Africa,2019,85,5.265,0.696,1.111,0.245,0.426,0.215,0.041
85,Kyrgyzstan,Commonwealth of Independent States,2019,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023
86,Turkmenistan,Commonwealth of Independent States,2019,87,5.247,1.052,1.538,0.657,0.394,0.244,0.028
87,Algeria,Middle East and North Africa,2019,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114
88,Morocco,Middle East and North Africa,2019,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076
89,Azerbaijan,Commonwealth of Independent States,2019,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182
90,Lebanon,Middle East and North Africa,2019,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027
91,Indonesia,Southeast Asia,2019,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028
92,China,East Asia,2019,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1
93,Vietnam,Southeast Asia,2019,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073
94,Bhutan,South Asia,2019,95,5.082,0.813,1.321,0.604,0.457,0.37,0.167
95,Cameroon,Sub-Saharan Africa,2019,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037
96,Bulgaria,Central and Eastern Europe,2019,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004
97,Ghana,Sub-Saharan Africa,2019,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04
98,Ivory Coast,Sub-Saharan Africa,2019,99,4.944,0.569,0.808,0.232,0.352,0.154,0.09
99,Nepal,South Asia,2019,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089
100,Jordan,Middle East and North Africa,2019,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13
101,Benin,Sub-Saharan Africa,2019,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082
102,Congo (Brazzaville),Sub-Saharan Africa,2019,103,4.812,0.673,0.799,0.508,0.372,0.105,0.093
103,Gabon,Sub-Saharan Africa,2019,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055
104,Laos,Southeast Asia,2019,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164
105,South Africa,Sub-Saharan Africa,2019,106,4.722,0.96,1.351,0.469,0.389,0.13,0.055
106,Albania,Central and Eastern Europe,2019,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027
107,Venezuela,Latin America and Caribbean,2019,108,4.707,0.96,1.427,0.805,0.154,0.064,0.047
108,Cambodia,Southeast Asia,2019,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062
109,Palestinian Territories,Middle East and North Africa,2019,110,4.696,0.657,1.247,0.672,0.225,0.103,0.066
110,Senegal,Sub-Saharan Africa,2019,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072
111,Somalia,Sub-Saharan Africa,2019,112,4.668,0.0,0.698,0.268,0.559,0.243,0.27
112,Namibia,Sub-Saharan Africa,2019,113,4.639,0.879,1.313,0.477,0.401,0.07,0.056
113,Niger,Sub-Saharan Africa,2019,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102
114,Burkina Faso,Sub-Saharan Africa,2019,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113
115,Armenia,Commonwealth of Independent States,2019,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064
116,Iran,Middle East and North Africa,2019,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125
117,Guinea,Sub-Saharan Africa,2019,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086
118,Georgia,Commonwealth of Independent States,2019,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164
119,Gambia,Sub-Saharan Africa,2019,120,4.516,0.308,0.939,0.428,0.382,0.269,0.167
120,Kenya,Sub-Saharan Africa,2019,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053
121,Mauritania,Sub-Saharan Africa,2019,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088
122,Mozambique,Sub-Saharan Africa,2019,123,4.466,0.204,0.986,0.39,0.494,0.197,0.138
123,Tunisia,Middle East and North Africa,2019,124,4.461,0.921,1.0,0.815,0.167,0.059,0.055
124,Bangladesh,South Asia,2019,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143
125,Iraq,Middle East and North Africa,2019,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089
126,Congo (Kinshasa),Sub-Saharan Africa,2019,127,4.418,0.094,1.125,0.357,0.269,0.212,0.053
127,Mali,Sub-Saharan Africa,2019,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052
128,Sierra Leone,Sub-Saharan Africa,2019,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045
129,Sri Lanka,South Asia,2019,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047
130,Myanmar,Southeast Asia,2019,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172
131,Chad,Sub-Saharan Africa,2019,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078
132,Ukraine,Commonwealth of Independent States,2019,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01
133,Ethiopia,Sub-Saharan Africa,2019,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1
134,Swaziland,Sub-Saharan Africa,2019,135,4.212,0.811,1.149,0.0,0.313,0.074,0.135
135,Uganda,Sub-Saharan Africa,2019,136,4.189,0.332,1.069,0.443,0.356,0.252,0.06
136,Egypt,Middle East and North Africa,2019,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067
137,Zambia,Sub-Saharan Africa,2019,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087
138,Togo,Sub-Saharan Africa,2019,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085
139,India,South Asia,2019,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085
140,Liberia,Sub-Saharan Africa,2019,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033
141,Comoros,Sub-Saharan Africa,2019,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078
142,Madagascar,Sub-Saharan Africa,2019,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041
143,Lesotho,Sub-Saharan Africa,2019,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093
144,Burundi,Sub-Saharan Africa,2019,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18
145,Zimbabwe,Sub-Saharan Africa,2019,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089
146,Haiti,Latin America and Caribbean,2019,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11
147,Botswana,Sub-Saharan Africa,2019,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1
148,Syria,Middle East and North Africa,2019,149,3.462,0.619,0.378,0.44,0.013,0.331,0.141
149,Malawi,Sub-Saharan Africa,2019,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089
150,Yemen,Middle East and North Africa,2019,151,3.38,0.287,1.163,0.463,0.143,0.108,0.077
151,Rwanda,Sub-Saharan Africa,2019,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411
152,Tanzania,Sub-Saharan Africa,2019,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147
153,Afghanistan,South Asia,2019,154,3.203,0.35,0.517,0.361,0.0,0.158,0.025
154,Central African Republic,Sub-Saharan Africa,2019,155,3.083,0.026,0.0,0.105,0.225,0.235,0.035
155,South Sudan,Sub-Saharan Africa,2019,156,2.853,0.306,0.575,0.295,0.01,0.202,0.091
156,Finland,Western Europe,2020,1,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262
157,Denmark,Western Europe,2020,2,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328
158,Switzerland,Western Europe,2020,3,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901
159,Iceland,Western Europe,2020,4,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772
160,Norway,Western Europe,2020,5,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568
161,Netherlands,Western Europe,2020,6,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762
162,Sweden,Western Europe,2020,7,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371
163,New Zealand,North America and ANZ,2020,8,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276
164,Austria,Western Europe,2020,9,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139
165,Luxembourg,Western Europe,2020,10,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469
166,Canada,North America and ANZ,2020,11,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856
167,Australia,North America and ANZ,2020,12,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419
168,United Kingdom,Western Europe,2020,13,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646
169,Israel,Middle East and North Africa,2020,14,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845
170,Costa Rica,Latin America and Caribbean,2020,15,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092
171,Ireland,Western Europe,2020,16,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262
172,Germany,Western Europe,2020,17,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292
173,United States,North America and ANZ,2020,18,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741
174,Czech Republic,Central and Eastern Europe,2020,19,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223
175,Belgium,Western Europe,2020,20,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052
176,United Arab Emirates,Middle East and North Africa,2020,21,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518
177,Malta,Western Europe,2020,22,6.772799969,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077
178,France,Western Europe,2020,23,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237
179,Mexico,Latin America and Caribbean,2020,24,6.465000153,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668
180,Taiwan Province of China,East Asia,2020,25,6.45539999,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352
181,Uruguay,Latin America and Caribbean,2020,26,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074
182,Saudi Arabia,Middle East and North Africa,2020,27,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315
183,Spain,Western Europe,2020,28,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779
184,Guatemala,Latin America and Caribbean,2020,29,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603
185,Italy,Western Europe,2020,30,6.38740015,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598
186,Singapore,Southeast Asia,2020,31,6.377099991,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236
187,Brazil,Latin America and Caribbean,2020,32,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604
188,Slovenia,Central and Eastern Europe,2020,33,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323
189,El Salvador,Latin America and Caribbean,2020,34,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352
190,Kosovo,Central and Eastern Europe,2020,35,6.325200081,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024
191,Panama,Latin America and Caribbean,2020,36,6.304800034,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526
192,Slovakia,Central and Eastern Europe,2020,37,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441
193,Uzbekistan,Commonwealth of Independent States,2020,38,6.257599831,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265
194,Chile,Latin America and Caribbean,2020,39,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935
195,Bahrain,Middle East and North Africa,2020,40,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257
196,Lithuania,Central and Eastern Europe,2020,41,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274
197,Trinidad and Tobago,Latin America and Caribbean,2020,42,6.191899776,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396
198,Poland,Central and Eastern Europe,2020,43,6.186299801,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251
199,Colombia,Latin America and Caribbean,2020,44,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837
200,Cyprus,Western Europe,2020,45,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144
201,Nicaragua,Latin America and Caribbean,2020,46,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574
202,Romania,Central and Eastern Europe,2020,47,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569
203,Kuwait,Middle East and North Africa,2020,48,6.102099895,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933
204,Mauritius,Sub-Saharan Africa,2020,49,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229
205,Kazakhstan,Commonwealth of Independent States,2020,50,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686
206,Estonia,Central and Eastern Europe,2020,51,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819
207,Philippines,Southeast Asia,2020,52,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727
208,Hungary,Central and Eastern Europe,2020,53,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173
209,Thailand,Southeast Asia,2020,54,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862
210,Argentina,Latin America and Caribbean,2020,55,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059
211,Honduras,Latin America and Caribbean,2020,56,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102
212,Latvia,Central and Eastern Europe,2020,57,5.949999809,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524
213,Ecuador,Latin America and Caribbean,2020,58,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383
214,Portugal,Western Europe,2020,59,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466
215,Jamaica,Latin America and Caribbean,2020,60,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785
216,South Korea,East Asia,2020,61,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282
217,Japan,East Asia,2020,62,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638
218,Peru,Latin America and Caribbean,2020,63,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266
219,Serbia,Central and Eastern Europe,2020,64,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147
220,Bolivia,Latin America and Caribbean,2020,65,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637
221,Pakistan,South Asia,2020,66,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121
222,Paraguay,Latin America and Caribbean,2020,67,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379
223,Dominican Republic,Latin America and Caribbean,2020,68,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682
224,Bosnia and Herzegovina,Central and Eastern Europe,2020,69,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487
225,Moldova,Commonwealth of Independent States,2020,70,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744
226,Tajikistan,Commonwealth of Independent States,2020,71,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913
227,Montenegro,Central and Eastern Europe,2020,72,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111
228,Russia,Commonwealth of Independent States,2020,73,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362
229,Kyrgyzstan,Commonwealth of Independent States,2020,74,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691
230,Belarus,Commonwealth of Independent States,2020,75,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435
231,North Cyprus,Western Europe,2020,76,5.53550005,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905
232,Greece,Western Europe,2020,77,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0.0,0.048844352
233,Hong Kong S.A.R. of China,East Asia,2020,78,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437
234,Croatia,Central and Eastern Europe,2020,79,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006
235,Libya,Middle East and North Africa,2020,80,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079
236,Mongolia,East Asia,2020,81,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126
237,Malaysia,Southeast Asia,2020,82,5.384300232,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133
238,Vietnam,Southeast Asia,2020,83,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459
239,Indonesia,Southeast Asia,2020,84,5.285600185,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613
240,Ivory Coast,Sub-Saharan Africa,2020,85,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794
241,Benin,Sub-Saharan Africa,2020,86,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874
242,Maldives,South Asia,2020,87,5.197599888,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492
243,Congo (Brazzaville),Sub-Saharan Africa,2020,88,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784
244,Azerbaijan,Commonwealth of Independent States,2020,89,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181
245,Macedonia,Central and Eastern Europe,2020,90,5.159800053,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059
246,Ghana,Sub-Saharan Africa,2020,91,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381
247,Nepal,South Asia,2020,92,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963
248,Turkey,Middle East and North Africa,2020,93,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243
249,China,East Asia,2020,94,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554
