,Country,Region,Year,Happiness_score,GDP_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption_perception
53,Thailand,Southeast Asia,2021,5.985,1.107,0.957,0.596,0.611,0.375,0.028
54,Nicaragua,Latin America and Caribbean,2021,5.972,0.693,0.904,0.604,0.553,0.201,0.176
55,Japan,East Asia,2021,5.94,1.389,0.949,0.838,0.504,0.02,0.192
56,Argentina,Latin America and Caribbean,2021,5.929,1.162,0.98,0.646,0.544,0.069,0.067
57,Portugal,Western Europe,2021,5.929,1.323,0.939,0.76,0.621,0.029,0.033
58,Honduras,Latin America and Caribbean,2021,5.919,0.703,0.787,0.593,0.578,0.241,0.083
59,Croatia,Central and Eastern Europe,2021,5.882,1.251,1.039,0.703,0.453,0.111,0.0
60,Philippines,Southeast Asia,2021,5.88,0.853,0.828,0.426,0.651,0.125,0.126
61,South Korea,East Asia,2021,5.845,1.403,0.758,0.801,0.353,0.134,0.135
62,Peru,Latin America and Caribbean,2021,5.84,0.986,0.833,0.623,0.536,0.087,0.031
63,Bosnia and Herzegovina,Central and Eastern Europe,2021,5.813,1.032,0.919,0.618,0.395,0.261,0.005
64,Moldova,Commonwealth of Independent States,2021,5.766,0.985,0.888,0.542,0.536,0.137,0.013
65,Ecuador,Latin America and Caribbean,2021,5.764,0.935,0.806,0.64,0.56,0.107,0.062
66,Kyrgyzstan,Commonwealth of Independent States,2021,5.744,0.665,0.971,0.501,0.673,0.266,0.02
67,Greece,Western Europe,2021,5.723,1.273,0.811,0.76,0.243,0.0,0.074
68,Bolivia,Latin America and Caribbean,2021,5.716,0.842,0.782,0.486,0.6,0.138,0.064
69,Mongolia,East Asia,2021,5.677,0.966,1.065,0.442,0.397,0.263,0.053
70,Paraguay,Latin America and Caribbean,2021,5.653,0.983,0.97,0.549,0.602,0.206,0.037
71,Montenegro,Central and Eastern Europe,2021,5.581,1.155,0.891,0.637,0.397,0.166,0.081
72,Dominican Republic,Latin America and Caribbean,2021,5.545,1.106,0.879,0.555,0.581,0.101,0.144
73,North Cyprus,Western Europe,2021,5.536,1.377,0.806,0.801,0.503,0.196,0.2
74,Belarus,Commonwealth of Independent States,2021,5.534,1.124,1.007,0.56,0.326,0.07,0.199
75,Russia,Commonwealth of Independent States,2021,5.477,1.241,0.992,0.511,0.409,0.115,0.06
76,Hong Kong S.A.R. of China,East Asia,2021,5.477,1.525,0.841,0.893,0.408,0.232,0.342
77,Tajikistan,Commonwealth of Independent States,2021,5.466,0.508,0.895,0.498,0.548,0.152,0.247
78,Vietnam,Southeast Asia,2021,5.411,0.817,0.873,0.616,0.679,0.124,0.091
79,Libya,Middle East and North Africa,2021,5.41,1.044,0.821,0.435,0.474,0.131,0.174
80,Malaysia,Southeast Asia,2021,5.384,1.259,0.797,0.587,0.624,0.27,0.064
81,Indonesia,Southeast Asia,2021,5.345,0.954,0.786,0.433,0.598,0.541,0.046
82,Congo (Brazzaville),Sub-Saharan Africa,2021,5.342,0.518,0.392,0.307,0.381,0.144,0.124
83,China,East Asia,2021,5.339,1.061,0.785,0.665,0.636,0.093,0.117
84,Ivory Coast,Sub-Saharan Africa,2021,5.306,0.669,0.409,0.052,0.438,0.177,0.092
85,Armenia,Commonwealth of Independent States,2021,5.283,0.996,0.758,0.585,0.54,0.079,0.198
86,Nepal,South Asia,2021,5.269,0.519,0.702,0.496,0.488,0.287,0.135
87,Bulgaria,Central and Eastern Europe,2021,5.266,1.181,1.055,0.583,0.494,0.125,0.005
88,Maldives,South Asia,2021,5.198,1.115,1.015,0.697,0.575,0.204,0.073
89,Azerbaijan,Commonwealth of Independent States,2021,5.171,1.025,0.841,0.541,0.526,0.043,0.276
90,Cameroon,Sub-Saharan Africa,2021,5.142,0.543,0.556,0.159,0.425,0.205,0.058
91,Senegal,Sub-Saharan Africa,2021,5.132,0.518,0.558,0.357,0.381,0.158,0.088
92,Albania,Central and Eastern Europe,2021,5.117,1.008,0.529,0.646,0.491,0.168,0.024
93,North Macedonia,Central and Eastern Europe,2021,5.101,1.068,0.772,0.535,0.45,0.212,0.022
94,Ghana,Sub-Saharan Africa,2021,5.088,0.68,0.595,0.287,0.517,0.268,0.058
95,Niger,Sub-Saharan Africa,2021,5.074,0.162,0.402,0.167,0.516,0.2,0.157
96,Turkmenistan,Commonwealth of Independent States,2021,5.066,1.046,1.172,0.439,0.602,0.366,0.033
97,Gambia,Sub-Saharan Africa,2021,5.051,0.367,0.511,0.21,0.384,0.465,0.123
98,Benin,Sub-Saharan Africa,2021,5.045,0.507,0.058,0.196,0.457,0.166,0.178
99,Laos,Southeast Asia,2021,5.03,0.808,0.598,0.33,0.643,0.268,0.179
100,Bangladesh,South Asia,2021,5.025,0.635,0.52,0.514,0.603,0.161,0.164
101,Guinea,Sub-Saharan Africa,2021,4.984,0.42,0.399,0.206,0.384,0.25,0.111
102,South Africa,Sub-Saharan Africa,2021,4.956,0.967,0.895,0.265,0.447,0.144,0.051
103,Turkey,Middle East and North Africa,2021,4.948,1.26,0.809,0.59,0.236,0.097,0.104
104,Pakistan,South Asia,2021,4.934,0.637,0.423,0.322,0.418,0.252,0.097
105,Morocco,Middle East and North Africa,2021,4.918,0.792,0.219,0.558,0.477,0.034,0.088
106,Venezuela,Latin America and Caribbean,2021,4.892,0.852,0.897,0.574,0.284,0.078,0.072
107,Georgia,Commonwealth of Independent States,2021,4.891,1.03,0.47,0.498,0.488,0.032,0.181
108,Algeria,Middle East and North Africa,2021,4.887,0.946,0.765,0.552,0.119,0.144,0.12
109,Ukraine,Commonwealth of Independent States,2021,4.875,0.979,0.958,0.517,0.417,0.181,0.01
110,Iraq,Middle East and North Africa,2021,4.854,0.91,0.638,0.381,0.302,0.153,0.041
111,Gabon,Sub-Saharan Africa,2021,4.852,1.037,0.707,0.362,0.424,0.058,0.064
112,Burkina Faso,Sub-Saharan Africa,2021,4.834,0.364,0.472,0.179,0.381,0.182,0.122
113,Cambodia,Southeast Asia,2021,4.83,0.603,0.68,0.426,0.702,0.21,0.061
114,Mozambique,Sub-Saharan Africa,2021,4.794,0.183,0.634,0.196,0.608,0.228,0.163
115,Nigeria,Sub-Saharan Africa,2021,4.759,0.663,0.625,0.051,0.433,0.212,0.039
116,Mali,Sub-Saharan Africa,2021,4.723,0.387,0.59,0.11,0.384,0.164,0.072
117,Iran,Middle East and North Africa,2021,4.721,1.03,0.557,0.561,0.275,0.33,0.144
118,Uganda,Sub-Saharan Africa,2021,4.636,0.364,0.718,0.24,0.398,0.267,0.054
119,Liberia,Sub-Saharan Africa,2021,4.625,0.228,0.58,0.253,0.43,0.221,0.057
120,Kenya,Sub-Saharan Africa,2021,4.607,0.603,0.508,0.385,0.483,0.375,0.073
121,Tunisia,Middle East and North Africa,2021,4.596,0.919,0.515,0.59,0.334,0.057,0.044
122,Lebanon,Middle East and North Africa,2021,4.584,1.045,0.868,0.595,0.175,0.14,0.026
123,Namibia,Sub-Saharan Africa,2021,4.574,0.882,0.801,0.262,0.411,0.091,0.059
124,Palestinian Territories,Middle East and North Africa,2021,4.517,0.646,0.819,0.434,0.33,0.082,0.075
125,Myanmar,Southeast Asia,2021,4.426,0.666,0.713,0.341,0.601,0.52,0.178
126,Jordan,Middle East and North Africa,2021,4.395,0.89,0.685,0.583,0.455,0.079,0.15
127,Chad,Sub-Saharan Africa,2021,4.355,0.255,0.353,0.0,0.24,0.215,0.084
128,Sri Lanka,South Asia,2021,4.325,0.99,0.82,0.593,0.559,0.239,0.049
129,Swaziland,Sub-Saharan Africa,2021,4.308,0.849,0.693,0.074,0.323,0.067,0.147
130,Comoros,Sub-Saharan Africa,2021,4.289,0.488,0.367,0.279,0.202,0.241,0.101
131,Egypt,Middle East and North Africa,2021,4.283,0.954,0.647,0.426,0.446,0.069,0.092
132,Ethiopia,Sub-Saharan Africa,2021,4.275,0.37,0.679,0.331,0.451,0.241,0.114
133,Mauritania,Sub-Saharan Africa,2021,4.227,0.666,0.749,0.273,0.218,0.119,0.133
134,Madagascar,Sub-Saharan Africa,2021,4.208,0.266,0.503,0.341,0.207,0.185,0.087
135,Togo,Sub-Saharan Africa,2021,4.107,0.254,0.239,0.203,0.289,0.209,0.107
136,Zambia,Sub-Saharan Africa,2021,4.073,0.528,0.552,0.231,0.487,0.227,0.074
137,Sierra Leone,Sub-Saharan Africa,2021,3.849,0.279,0.377,0.1,0.408,0.243,0.047
138,India,South Asia,2021,3.819,0.741,0.316,0.383,0.622,0.246,0.106
139,Burundi,Sub-Saharan Africa,2021,3.775,0.0,0.062,0.155,0.298,0.172,0.212
140,Yemen,Middle East and North Africa,2021,3.658,0.329,0.831,0.272,0.268,0.092,0.089
141,Tanzania,Sub-Saharan Africa,2021,3.623,0.433,0.54,0.3,0.549,0.307,0.231
142,Haiti,Latin America and Caribbean,2021,3.615,0.294,0.173,0.227,0.257,0.463,0.139
143,Malawi,Sub-Saharan Africa,2021,3.6,0.113,0.168,0.298,0.484,0.213,0.134
144,Lesotho,Sub-Saharan Africa,2021,3.512,0.451,0.731,0.007,0.405,0.103,0.015
145,Botswana,Sub-Saharan Africa,2021,3.467,1.099,0.724,0.34,0.539,0.027,0.088
146,Rwanda,Sub-Saharan Africa,2021,3.415,0.364,0.202,0.407,0.627,0.227,0.493
147,Zimbabwe,Sub-Saharan Africa,2021,3.145,0.457,0.649,0.243,0.359,0.157,0.075
148,Afghanistan,South Asia,2021,2.523,0.37,0.0,0.126,0.0,0.122,0.01
